"id","name","organisation","startdate","enddate","number_of_participants","number_of_waste_bags","kg_of_collected_waste","handout_gloves","handout_wastebags","municipality","county","municipality_name","county_name","meters_cleaned_beach","teiner","oljefat","fulle_soppelbotter","avfallsstasjon","kloakkutslipp","dumpet_avfall","serveringssteder","turisme","biltrafikk","havn","landbruk","fiskeri_havbruk","bygg_anlegg","geom_wkt","personal_use","fisheries","industrial","hygiene","others","created_at","created_by","updated_at","updated_by"
"93","Rydde Indrevågen","","10/4/2020 02:00:00","10/4/2020 02:00:00","4","10","100","0","0","4602","46","Kinn","Vestland","193",,"0",,,,,,,,,,,,"POINT(4.93042370759326 61.5219855204388)","1","11","3","0","1","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"97","Rydde Knappen","","15/4/2020 02:00:00","8/5/2020 02:00:00","2","25","250","0","0","4631","46","Alver","Vestland","2047",,"0",,,,,,,,,,,,"POINT(4.86866622745499 60.7129464877839)","134","258","154","75","110","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"98","Rydde Skeie - Risavika Båtforening","Clean Shores Global","16/4/2020 02:00:00","16/4/2020 02:00:00","1","6","95","1","1","1124","11","Sola","Rogaland","0",,"2",,,,,,,,,,,,"POINT(5.60574633500175 58.9245363000289)","305","651","876","63","2","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"107","Nord-Varanger","Hold Norge Rent","4/5/2020 02:00:00","31/10/2020 01:00:00","8","0","36920","1","1","5405","54","Vadsø","Troms og Finnmark","23314",,"1",,,"1","1",,"1","1","1","1","1","1","POINT(30.291747827166 70.1253303868737)","109","38","27","7","31","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"108","Rydde Skeie Risavika Båtforening","Clean Shores Global","17/4/2020 02:00:00","17/4/2020 02:00:00","1","11","110","1","1","1124","11","Sola","Rogaland","217",,"2",,,,,,,,,,,,"POINT(5.60475777956264 58.9250716968813)","235","676","737","73","358","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"112","Rydde Memmernes","","18/4/2020 02:00:00","18/4/2020 02:00:00","8","3","30","0","0","1804","18","Bodø","Nordland","262",,"0",,,,,,,,,"1",,,"POINT(14.6424942226534 67.3950723343056)","39","206","76","51","319","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"119","Søndagsrydding utfor Furu","","19/4/2020 02:00:00","19/4/2020 02:00:00","12","7","60","0","1","1860","18","Vestvågøy","Nordland","306",,"0",,,,,,"1",,,,"1","1","POINT(13.9328826194702 68.3445499656687)","86","43","17","11","91","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"121","Sørvika og holmen nordfor","Ren Kyst","18/4/2020 02:00:00","18/4/2020 02:00:00","3","1","10","0","0","5401","54","Tromsø","Troms og Finnmark","1731",,"0",,,,,,,,,,"1",,"POINT(18.0171229920823 69.5859109097781)","28","52","25","6","5","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"139","Rydde rundt Gansvika badeplass, Gansbruket, båthavna samt Blesavika","Norges Dykkeforbund","20/4/2020 02:00:00","20/4/2020 02:00:00","19","12","200","1","1","3030","30","Lillestrøm","Viken","159",,"10","1",,,,"1","1",,"1","1",,,"POINT(11.2175834110562 59.8616443850252)","999","17","94","49","2521","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"140","Rydde Sandbankan","Nordic Ocean Watch","19/4/2020 02:00:00","19/4/2020 02:00:00","3","3","30","0","0","1860","18","Vestvågøy","Nordland","483",,"0",,,,,,"1",,"0",,"1","1","POINT(13.5829359276229 68.2690665194706)","93","21","7","9","24","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
