"id","name","organisation","startdate","enddate","number_of_participants","number_of_waste_bags","kg_of_collected_waste","handout_gloves","handout_wastebags","municipality","county","municipality_name","county_name","meters_cleaned_beach","teiner","oljefat","fulle_soppelbotter","avfallsstasjon","kloakkutslipp","dumpet_avfall","serveringssteder","turisme","biltrafikk","havn","landbruk","fiskeri_havbruk","bygg_anlegg","geom_wkt","personal_use","fisheries","industrial","hygiene","others","created_at","created_by","updated_at","updated_by"
"2537","Clean Up Lofoten: Bunesfjorden","","5/6/2020 02:00:00","5/6/2020 02:00:00","15","0","817","0","0","1874","18","Moskenes","Nordland","5615",,"0",,,,,,,,,,,,"POINT(12.9867077425602 67.9697898073633)","400","1174","122","0","31","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2540","Clean Up Lofoten Rambergstranda","","3/4/2020 02:00:00","3/4/2020 02:00:00","2","0","50","0","0","1859","18","Flakstad","Nordland","1912",,"0",,,,,,,,,,,,"POINT(13.2424748210895 68.09707994358)","29","114","2","0","2","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2541","Clean Up Lofoten Lamholmen","","24/4/2020 02:00:00","24/4/2020 02:00:00","1","0","100","0","0","1859","18","Flakstad","Nordland","412",,"0",,,,,,,,,,,,"POINT(13.1803916097187 68.107488150065)","32","79","14","0","3","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2542","Clean Up Lofoten Skjelfjord","","6/5/2020 02:00:00","6/5/2020 02:00:00","9","0","740","0","0","1859","18","Flakstad","Nordland","4892",,"0",,,,,,,,,,,,"POINT(13.2367237326453 68.0609885269565)","200","434","95","9","14","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2544","Clean Up Lofoten Kvalvika","","23/5/2020 02:00:00","23/5/2020 02:00:00","32","0","1797","0","0","1859","18","Flakstad","Nordland","528",,"2",,,,,,,,,,,,"POINT(13.0966012298592 68.0770961712081)","1160","1290","829","189","169","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2546","Clean Up Lofoten Vestervika","","23/5/2020 02:00:00","23/5/2020 02:00:00","25","0","1307","0","0","1859","18","Flakstad","Nordland","970",,"0",,,,,,,,,,,,"POINT(13.0813093860425 68.0727305018736)","543","1554","138","47","68","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2547","Clean Up Lofoten Kåkeren","","19/5/2020 02:00:00","19/5/2020 02:00:00","3","0","240","0","0","1859","18","Flakstad","Nordland","538",,"0",,,,,,,,,,,,"POINT(13.1824787603701 68.0204565282986)","49","38","40","1","13","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2548","Clean Up Lofoten: Vareid","","22/5/2020 02:00:00","22/5/2020 02:00:00","4","0","220","0","0","1859","18","Flakstad","Nordland","2917",,"3",,,,,,,,,,,,"POINT(13.340706406212 68.1180860726312)","113","160","50","1","20","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2549","Clean Up Lofoten Vikten","","10/4/2020 02:00:00","10/4/2020 02:00:00","3","0","70","0","0","1859","18","Flakstad","Nordland","2446",,"0",,,,,,,,,,,,"POINT(13.3099503183178 68.1373386408555)","43","70","33","0","2","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2550","Clean Up Lofoten: Horndalen","","4/6/2020 02:00:00","4/6/2020 02:00:00","10","0","1208","0","0","1859","18","Flakstad","Nordland","0",,"0",,,,,,,,,,,,"POINT(13.3212057551146 68.1658077005621)","7519","6114","1446","76","94","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2556","Clean Up Lofoten: Stokkvika","","7/6/2020 02:00:00","26/6/2020 02:00:00","7","0","400","0","0","1859","18","Flakstad","Nordland","0",,"1",,,,,,,,,,,,"POINT(13.1053412943778 68.1071924363039)","2032","905","253","14","18","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2559","Clean Up Lofoten: Vikarøya (proff)","","27/5/2020 02:00:00","27/5/2020 02:00:00","9","0","205","0","0","1865","18","Vågan","Nordland","580",,"0",,,,,,,,,,,,"POINT(14.039596284002 68.3337689051586)","372","659","147","17","20","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2561","Clean Up Lofoten Storøya","","27/5/2020 02:00:00","27/5/2020 02:00:00","9","0","55","0","0","1865","18","Vågan","Nordland","239",,"0",,,,,,,,,,,,"POINT(14.2708461383865 68.2703715259264)","225","333","106","8","10","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2563","Clean Up Lofotem: Holand","","30/5/2020 02:00:00","1/6/2020 02:00:00","4","0","80","0","0","1865","18","Vågan","Nordland","941",,"0",,,,,,,,,,,,"POINT(15.0998872135124 68.3043807633298)","59","104","45","0","1","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2572","Clean Up Lofoten: Ørsvågvær","","25/4/2020 02:00:00","25/4/2020 02:00:00","3","0","20","0","0","1865","18","Vågan","Nordland","442",,"0",,,,,,,,,,,,"POINT(14.426040376024 68.2089771931299)","47","32","7","5","1","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2574","Sjøspretten rydder søndre Lågøyna ","Fjordane Friluftsråd","3/10/2020 02:00:00","3/10/2020 02:00:00","12","0","540","0","0","4636","46","Solund","Vestland","1453",,"0",,,,,,,,,,"1",,"POINT(4.78361937744504 61.1278199900996)","75","56","76","0","1","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2578","Clean Up Lofoten: Børøya (proff)","","21/5/2020 02:00:00","21/5/2020 02:00:00","10","0","173","0","0","1865","18","Vågan","Nordland","191",,"1",,,,,,,,,,,,"POINT(14.1814075085361 68.2210727695449)","314","313","162","34","15","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2583","Clean Up Lofoten: Storøya (proff)","","21/5/2020 02:00:00","21/5/2020 02:00:00","10","0","341","0","0","1865","18","Vågan","Nordland","2117",,"0",,,,,,,,,,,,"POINT(14.191173001669 68.2241603922662)","722","653","414","65","31","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2588","Clean Up Lofoten: Litløya (Proff)","","21/5/2020 02:00:00","21/5/2020 02:00:00","10","0","68","0","0","1865","18","Vågan","Nordland","290",,"0",,,,,,,,,,,,"POINT(14.2016971659249 68.2274970275102)","370","329","131","5","2","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2590","Clean Up Lofoten: Sildpollneset ","","18/9/2020 02:00:00","18/9/2020 02:00:00","15","0","160","0","0","1865","18","Vågan","Nordland","1228",,"0",,,,,,,,,,,,"POINT(14.7198794444332 68.3227862483758)","73","40","25","0","3","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2601","Clean Up Lofoten: Røsøysundet-Skogerøya (Laukvik)","","18/9/2020 02:00:00","18/9/2020 02:00:00","16","0","240","0","0","1865","18","Vågan","Nordland","689",,"2",,,,,,,,,,,,"POINT(14.4086192976822 68.3787230742339)","130","149","39","2","7","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2610","Undervannsrydding bak COOP ","Norges Dykkeforbund","10/10/2020 02:00:00","10/10/2020 02:00:00","21","50","500","0","1","5401","54","Tromsø","Troms og Finnmark","234",,"0",,,,,,,,,,,,"POINT(18.9279206982406 69.630964463806)","30","12","3","0","45","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2628","Rydde Herdlesundet","","3/10/2020 02:00:00","3/10/2020 02:00:00","5","4","40","0","0","4627","46","Askøy","Vestland","1100",,"0",,,,,,,,,,,,"POINT(4.95913272778423 60.5620148890042)","29","25","9","7","14","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2631","Clean Up Lofoten: Gravermarka","","14/8/2020 02:00:00","14/8/2020 02:00:00","2","0","220","0","0","1865","18","Vågan","Nordland","2015",,"0",,,,,,,,,,,,"POINT(14.314519149453 68.3009497629733)","7","36","2","0","5","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2636","Clean Up Lofoten: Uttakleiv","","25/3/2020 01:00:00","25/3/2020 01:00:00","1","0","60","0","0","1860","18","Vestvågøy","Nordland","1769",,"0",,,,,,,,,,,,"POINT(13.5057556782376 68.2121354944759)","157","20","13","2","4","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2640","Clean Up Lofoten: Unstad","","20/4/2020 02:00:00","21/4/2020 02:00:00","2","0","220","0","0","1860","18","Vestvågøy","Nordland","2806",,"0",,,,,,,,,,,,"POINT(13.5793055051222 68.2676701218464)","108","36","2","7","7","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2641","Clean Up Lofoten: Vik","","28/4/2020 02:00:00","28/4/2020 02:00:00","2","0","20","0","0","1860","18","Vestvågøy","Nordland","882",,"0",,,,,,,,,,,,"POINT(13.5382082167495 68.1917519389188)","108","36","2","7","4","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2642","Clean Up Lofoten: Haldsvågen, innerst","","26/4/2020 02:00:00","26/4/2020 02:00:00","3","0","20","0","0","1860","18","Vestvågøy","Nordland","4675",,"0",,,,,,,,,,,,"POINT(13.5975058508001 68.1421578897243)","81","4","9","2","1","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2647","Clean Up Lofoten: Valbergsveien 981","","1/5/2020 02:00:00","1/5/2020 02:00:00","2","6","120","0","0","1860","18","Vestvågøy","Nordland","118",,"0",,,,,,,,,,,,"POINT(13.8939330215556 68.1980778155624)","254","283","37","35","4","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2663","Rydde Kronstad","","9/10/2020 02:00:00","9/10/2020 02:00:00","0","0","12","0","0","4601","46","Bergen","Vestland","0",,"0","0","0","0","0","0","0","0","0","0","0","0","POINT(5.34090033051723 60.3783625469443)","20","39","20","0","12","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2679","Rydde Moloen Ørsta båthavn","Clean Shores Global","10/10/2020 02:00:00","10/10/2020 02:00:00","1","8","80","1","1","1520","15","Ørsta","Møre og Romsdal","272",,"3",,,,,"1",,,,,,,"POINT(6.12555597369017 62.1958551211213)","306","18","105","35","54","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2680","Rydde Osvika","Clean Shores Global","8/10/2020 02:00:00","8/10/2020 02:00:00","1","2","100","0","0","4649","46","Stad","Vestland","948",,"1",,,,,,,,,"1",,,"POINT(5.97999190336242 61.8997975762808)","122","7","50","10","22","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2681","Rydde Krumsvika","Clean Shores Global","6/10/2020 02:00:00","6/10/2020 02:00:00","1","9","150","0","0","1577","15","Volda","Møre og Romsdal","1302",,"6",,,,,,,,,,,,"POINT(6.05637896864535 62.1081050430439)","239","12","47","43","67","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2683","Rydde Rovika","Clean Shores Global","29/9/2020 02:00:00","29/9/2020 02:00:00","10","19","190","0","0","1108","11","Sandnes","Rogaland","726",,"10",,,,,,,,,,,,"POINT(5.75320969921438 58.856972106331)","681","310","1455","59","1005","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2684","Rydde Langs E39 Solaveien","Clean Shores Global","10/9/2020 02:00:00","25/9/2020 02:00:00","1","15","200","0","0","1108","11","Sandnes","Rogaland","0",,"4",,,,"1",,,,,,,,"POINT(5.71423610432115 58.8552112686301)","374","22","114","32","114","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2685","Rydde langs E39 Solaveien","Clean Shores Global","24/9/2020 02:00:00","24/9/2020 02:00:00","1","6","80","0","0","1108","11","Sandnes","Rogaland","0",,"3",,,,"1",,,,,,,,"POINT(5.71420693521625 58.8555398706043)","119","3","41","20","13","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2691","Rydde langs Solaveien","Clean Shores Global","11/9/2020 02:00:00","15/9/2020 02:00:00","1","9","130","0","0","1108","11","Sandnes","Rogaland","0",,"3",,,,"1",,,,,,,,"POINT(5.71361912691692 58.8554436911049)","155","12","50","21","55","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2692","Rydde langs Solaveien og E39","Clean Shores Global","14/9/2020 02:00:00","14/9/2020 02:00:00","1","8","120","0","0","1108","11","Sandnes","Rogaland","0",,"4",,,,,,,,,,,,"POINT(5.71320704939218 58.8556230446749)","147","12","35","27","57","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2693","Rydde langs E39","Clean Shores Global","9/9/2020 02:00:00","9/9/2020 02:00:00","1","7","120","0","0","1108","11","Sandnes","Rogaland","0",,"4",,,,"1",,,,,,,,"POINT(5.7130742916693 58.855423540235)","164","12","67","50","60","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2694","Rydde langs E39","Clean Shores Global","7/9/2020 02:00:00","7/9/2020 02:00:00","1","8","130","0","0","1108","11","Sandnes","Rogaland","0",,"4",,,,"1",,,,,,,,"POINT(5.71287059945733 58.855342460012)","186","8","46","57","56","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2695","Rydde Folkvordparken","Clean Shores Global","5/9/2020 02:00:00","5/9/2020 02:00:00","1","10","110","0","0","1108","11","Sandnes","Rogaland","0",,"8",,,,"1",,,,,,,,"POINT(5.7139663953452 58.8551439099653)","213","12","68","42","66","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2696","Rydde langs Folkvordveien","Clean Shores Global","3/9/2020 02:00:00","3/9/2020 02:00:00","1","10","150","0","0","1108","11","Sandnes","Rogaland","0",,"3",,,,"1",,,,,,,,"POINT(5.71312701396288 58.8557863135086)","128","4","50","33","50","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2697","Rydde Jåttåflaten Jåttåstranda og Folkvordparken","Clean Shores Global","1/9/2020 02:00:00","1/9/2020 02:00:00","1","10","250","0","0","1103","11","Stavanger","Rogaland","33",,"6",,,,"1",,,,,,,,"POINT(5.73114007102354 58.9180258992669)","357","11","73","72","57","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2698","Rydde Hovdsanden","Hold Norge Rent","4/10/2020 02:00:00","4/10/2020 02:00:00","4","18","300","0","0","5055","50","Heim","Trøndelag","0",,"2","1",,,,,,,,"1","1",,"POINT(8.82700508041534 63.1923894600799)","142","147","99","9","36","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2699","Rydde Prestaskjerstunet og omland","Clean Shores Global","16/9/2020 02:00:00","16/9/2020 02:00:00","7","20","230","0","0","1124","11","Sola","Rogaland","1172",,"7",,,,,,,,,,,,"POINT(5.60771007966045 58.9569784993646)","564","1076","734","144","312","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2700","Rydde langs Solaveien","Clean Shores Global","10/9/2020 02:00:00","10/9/2020 02:00:00","1","12","140","0","0","1108","11","Sandnes","Rogaland","0",,"9",,,,"1",,,,,,,,"POINT(5.71135483259194 58.8574926289899)","550","16","99","75","90","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2703","Rydde Hinnavågen","Clean Shores Global","25/8/2020 02:00:00","25/8/2020 02:00:00","1","12","250","0","0","1103","11","Stavanger","Rogaland","48",,"8",,,,"1",,,,,,,,"POINT(5.73847914688752 58.9196960882286)","435","37","138","132","215","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2706","Rydde Kvæven, Øvre Sirdal, Tonstad, Vedelia","Clean Shores Global","31/8/2020 02:00:00","31/8/2020 02:00:00","5","4","60","0","0","4228","42","Sirdal","Agder","18533",,"0",,,,,,,,,,,,"POINT(6.90691371023796 58.9328042872089)","118","8","7","21","52","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2707","Rydde Tonstad, Flatebekken","Clean Shores Global","31/7/2020 02:00:00","31/7/2020 02:00:00","3","3","30","0","0","4228","42","Sirdal","Agder","7538",,"0",,,,,,,,,,,,"POINT(6.72962054690202 58.6700171238671)","172","4","15","23","24","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2708","Rydde Fintland, Feed og Tonstad området","Clean Shores Global","30/6/2020 02:00:00","30/6/2020 02:00:00","3","4","40","0","0","4228","42","Sirdal","Agder","3342",,"2",,,,,,,,,,,,"POINT(6.70926275190465 58.6699664930044)","209","5","18","52","40","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2709","Rydde Storeli, Kvæven, Øvre Sirdal, Tonstad","Clean Shores Global","31/5/2020 02:00:00","31/5/2020 02:00:00","5","6","60","0","0","4228","42","Sirdal","Agder","23299",,"1",,,,,,,,,,,,"POINT(6.92633374428047 58.9755049225287)","316","5","21","84","50","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2710","Rydde Stora Neset; Fidjeland, Tonstad etc","Clean Shores Global","30/4/2020 02:00:00","30/4/2020 02:00:00","5","13","130","0","0","4228","42","Sirdal","Agder","12839",,"2",,,,,,,,,,,,"POINT(6.92128926494387 58.963044330678)","357","6","71","83","102","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2711","Rydde Ytregarden, Tonstad","Clean Shores Global","31/3/2020 02:00:00","31/3/2020 02:00:00","3","3","30","0","0","4228","42","Sirdal","Agder","2697",,"1",,,,,,,,,,,,"POINT(6.71076982512717 58.6645030911216)","178","4","15","52","31","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2712","Rydde Borgarsletta, Tonstad generelt","Clean Shores Global","29/2/2020 01:00:00","29/2/2020 01:00:00","3","2","20","0","0","4228","42","Sirdal","Agder","4366",,"2",,,,,,,,,,,,"POINT(6.71475689916554 58.6710588493701)","158","4","12","21","30","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2713","Rydde Gamlebakkane, Feed, Tonstad","Clean Shores Global","31/1/2020 01:00:00","31/1/2020 01:00:00","3","2","20","0","0","4228","42","Sirdal","Agder","4369",,"1",,,,,,,,,,,,"POINT(6.68717953274756 58.6634785270995)","119","4","8","24","19","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2716","Rydde Øyen/Belgen","Hold Innlandet Rent","16/10/2020 02:00:00","18/10/2020 02:00:00","2","8","80","1","1","3415","34","Sør-Odal","Innlandet","0",,"5",,,,"1",,"1",,"1",,,,"POINT(11.705054178981 60.3250735319565)","150","24","7","0","34","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2718","Rydde Botnaholten","Fjordane Friluftsråd","8/9/2020 02:00:00","11/10/2020 02:00:00","2","1","10","1","1","4602","46","Kinn","Vestland","0",,"0","0","0","0","0","0","0","0","0","0","0","0","POINT(5.07166019417082 61.6028497538039)","184","4","14","20","41","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2723","Clean Up Lofoten: Aust Lofoten VGS","","16/9/2020 02:00:00","16/9/2020 02:00:00","13","13","130","0","0","1865","18","Vågan","Nordland","2957",,"0",,,,,,,,,,,,"POINT(14.6023201477613 68.2431030856475)","159","24","68","12","1","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2727","Vi rydder Ringvebukta ","Clean Shores Global","15/10/2020 02:00:00","15/10/2020 02:00:00","4","0","75","0","1","5001","50","Trondheim","Trøndelag","0",,"0",,,,,,"1","1",,,,,"POINT(10.4623689778887 63.4527156471308)","46","2","4","6","13","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2732","Clean Up Lofoten: Kollvika ","","3/5/2020 02:00:00","3/5/2020 02:00:00","1","0","3","0","0","1860","18","Vestvågøy","Nordland","107",,"0",,,,,,,,,,,,"POINT(13.5162889269336 68.1665933823768)","31","8","25","10","6","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2733","Clean Up Lofoten Nesjeøyene","","30/4/2020 02:00:00","2/5/2020 02:00:00","2","52","520","0","0","1860","18","Vestvågøy","Nordland","1159",,"0",,,,,,,,,,,,"POINT(13.752779509882 68.3030903299274)","99","375","76","6","46","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2735","Rydde Melkevika","","13/10/2020 02:00:00","13/10/2020 02:00:00","11","15","10","1","1","4206","42","Farsund","Agder","30",,"2","0","0","0","0","0","0","0","0","0","0","0","POINT(6.92554938962717 58.0598194303712)","46","17","26","0","35","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2738","Clean Up Lofoten: Voie","","8/5/2020 02:00:00","8/5/2020 02:00:00","3","7","140","0","0","1860","18","Vestvågøy","Nordland","1933",,"0",,,,,,,,,,,,"POINT(13.5874634930054 68.2464951956895)","438","766","115","6","97","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2739","Clean Up Lofoten: Gravdal småbåthavn og nordover","","11/5/2020 02:00:00","11/5/2020 02:00:00","3","7","80","0","0","1860","18","Vestvågøy","Nordland","317",,"0",,,,,,,,,,,,"POINT(13.5501198103443 68.1243871401849)","22","18","19","10","8","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2742","Clean Up Lofoten: Bjørnsandveien","","28/4/2020 02:00:00","28/4/2020 02:00:00","2","0","400","0","0","1860","18","Vestvågøy","Nordland","698",,"0",,,,,,,,,,,,"POINT(13.6380400167985 68.2334692094019)","46","519","63","8","7","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2747","Clean Up Lofoten: Vågan mot Vikstranda","","23/4/2020 02:00:00","26/4/2020 02:00:00","2","9","200","0","0","1860","18","Vestvågøy","Nordland","130",,"0",,,,,,,,,,,,"POINT(13.5274207354324 68.1856297436771)","122","1143","106","9","5","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2751","Clean Up Lofoten: Bergsøya og Sandberg","","27/5/2020 02:00:00","27/5/2020 02:00:00","2","8","40","0","0","1860","18","Vestvågøy","Nordland","190",,"0",,,,,,,,,,,,"POINT(13.6210169882454 68.1204630423931)","247","1154","320","61","1","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2756","Clean Up Lofoten: Gjermesøya","","28/5/2020 02:00:00","28/5/2020 02:00:00","3","18","140","0","0","1860","18","Vestvågøy","Nordland","115",,"5",,,,,,,,,,,,"POINT(13.538038966826 68.0653244042126)","84","101","45","0","5","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2757","Clean Up Lofoten: Reistet: Proff ryddere","","26/5/2020 02:00:00","26/5/2020 02:00:00","9","0","1624","0","0","1860","18","Vestvågøy","Nordland","4",,"3",,,,,,,,,,,,"POINT(13.6022590550548 68.2911458564669)","2184","2821","660","96","32","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2762","Rydde Heggvika/ Sandvika","","1/10/2020 02:00:00","14/10/2020 02:00:00","5","0","2000","0","1","1811","18","Bindal","Nordland","4699",,"0",,,,,,,,,,,,"POINT(12.053754105003 65.1074623130768)","3","434","2","0","18","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2776","Rydde Pollen-Arendal","Norges Dykkeforbund","17/10/2020 02:00:00","17/10/2020 02:00:00","16","0","320","0","0","4203","42","Arendal","Agder","0",,"0",,,,,"1","1",,"1",,,,"POINT(8.76793469856393 58.4600334003639)","9753","26","0","2","8","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2804","Rydde Holmen","Fjordane Friluftsråd","15/10/2020 02:00:00","15/10/2020 02:00:00","2","1","8","1","0","4648","46","Bremanger","Vestland","0",,"0",,,,,,,,,,,,"POINT(4.95848530550222 61.8381000557958)","11","12","10","0","3","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2850","Rydde Sandvikasanden","","17/10/2020 02:00:00","18/10/2020 02:00:00","4","3","30","0","0","4623","46","Samnanger","Vestland","0",,"2",,,,,,"1",,"1",,"1",,"POINT(5.68585003639662 60.3537435209647)","44","27","35","8","6","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2852","Tufjord","","13/10/2020 02:00:00","13/10/2020 02:00:00","12","0","1000","0","0","-2","-2","Utlandet","Utlandet","0",,"0",,,,,,,,"1",,"1","1","POINT(26.41126132293 69.7986747609977)","267","625","194","0","130","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2868","Rydde langs E39 Solaveien","Clean Shores Global","15/10/2020 02:00:00","15/10/2020 02:00:00","1","6","80","0","0","1108","11","Sandnes","Rogaland","0",,"5",,,,"1",,,,,,,,"POINT(5.71355577848892 58.8557740436113)","149","3","45","26","24","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2869","Rydde langs E39 Solaveien","Clean Shores Global","19/10/2020 02:00:00","19/10/2020 02:00:00","1","5","110","1","1","1108","11","Sandnes","Rogaland","0",,"3",,,,"1",,,,,,,,"POINT(5.71305253318716 58.8561929686231)","114","5","31","17","19","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2871","Clean Up Lofoten: Æsholman Naturreservat","","12/10/2020 02:00:00","12/10/2020 02:00:00","2","1","20","0","0","1860","18","Vestvågøy","Nordland","240",,"0",,,,,,,,,,,,"POINT(13.4382460946648 68.224124633206)","17","45","10","0","2","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2874","Clean Up Lofoten: Sennesvika","","12/10/2020 02:00:00","12/10/2020 02:00:00","1","2","20","0","0","1860","18","Vestvågøy","Nordland","4310",,"0",,,,,,,,,,,,"POINT(13.7138863877662 68.1127140871658)","28","16","13","0","2","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2896","Clean Up Lofoten: Horndalen sør fra Mjåneset: Vikten Skole","","14/10/2020 02:00:00","14/10/2020 02:00:00","15","35","350","0","0","1859","18","Flakstad","Nordland","1299",,"0",,,,,,,,,,,,"POINT(13.3148713296825 68.152257178728)","240","106","66","1","2","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2920","Clean Up Lofoten: Rørvikavatnet kartlegging","Hold Norge Rent","21/10/2020 02:00:00","21/10/2020 02:00:00","2","1","5","0","0","1865","18","Vågan","Nordland","3",,"0",,,,,,,,,,,,"POINT(14.2480523037931 68.2058617610354)","10","1","2","0","2","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2925","CLean Up Lofoten: Karvistranda: Proff ryddere","","15/5/2020 02:00:00","15/5/2020 02:00:00","10","30","300","0","0","1860","18","Vestvågøy","Nordland","1712",,"0",,,,,,,,,,,,"POINT(13.8554084088359 68.1558658532592)","215","492","112","1","11","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2930","Clean Up Lofoten: Silsandholmen Proff Ryddere","","15/5/2020 02:00:00","15/5/2020 02:00:00","10","7","70","0","0","1860","18","Vestvågøy","Nordland","8",,"0",,,,,,,,,,,,"POINT(13.8699095902074 68.1550982888485)","84","194","64","10","2","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2931","Rydde Folkvordparken","Clean Shores Global","22/10/2020 02:00:00","22/10/2020 02:00:00","1","6","90","1","1","1108","11","Sandnes","Rogaland","0",,"4",,,,"1",,,,,,,,"POINT(5.7130444626986 58.8558937465259)","95","4","34","11","18","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2982","Rydde Dalsvågen Dalestranda","Clean Shores Global","23/10/2020 02:00:00","23/10/2020 02:00:00","13","24","450","0","0","1108","11","Sandnes","Rogaland","589",,"7",,,,"1",,,,,,,,"POINT(5.78018195622881 58.9050181864607)","394","195","254","90","231","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2985","Rydde Risneset","","17/9/2020 02:00:00","28/9/2020 02:00:00","2","8","80","0","0","4631","46","Alver","Vestland","402",,"0",,,,,,,,,,,,"POINT(4.93997304162694 60.6527617346642)","19","35","19","8","3","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"2987","Rydde Ryggstranda","Clean Shores Global","27/10/2020 01:00:00","27/10/2020 01:00:00","1","7","150","1","1","1127","11","Randaberg","Rogaland","159",,"5",,,,,,,,"1",,,,"POINT(5.66243476413276 59.0040037207036)","200","256","2171","29","100","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
